#ZeropointFile: y3a1_fgcm_all_v2_5_full_redux.fits
#AtmosphereFile: y3a1_fgcm_all_v2_5_atmospheres_StdAtm.fits
#FGCMVersion: 0.12.1
NVAR: 15
VARNAMES: ROW DES_SNID MJD EXPNUM PHASE zHD BAND MAGCOR FRACNEGFLUX FLUXCAL_MODEL CCDNUM FULL_CORRs gFlux rFlux iFlux zFlux
ROW: 1253920-56614.078-i 1253920 56614.078 255451 30.820 0.196 i -6.035e-04 0.000e+0 +2.114e+02 29 1 56.8207015991 187.634353638 211.407531738 0.0
ROW: 1253920-56615.096-g 1253920 56615.096 255888 31.840 0.196 g +1.143e-02 2.930e-02 +5.324e+01 29 1 53.2368240356 178.2603302 202.072875977 0.0
ROW: 1253920-56615.098-r 1253920 56615.098 255889 31.840 0.196 r -4.118e-04 0.000e+0 +1.783e+02 29 1 53.2368240356 178.2603302 202.072875977 0.0
ROW: 1253920-56615.101-i 1253920 56615.101 255890 31.844 0.196 i +1.225e-03 0.000e+0 +2.021e+02 29 1 53.2368240356 178.2603302 202.072875977 0.0
ROW: 1253920-56628.076-g 1253920 56628.076 259318 44.816 0.196 g +1.014e-02 8.175e-02 +3.390e+01 29 1 33.9024124146 98.3808746338 101.86050415 0.0
ROW: 1253920-56628.078-r 1253920 56628.078 259319 44.820 0.196 r -2.814e-03 0.000e+0 +9.838e+01 29 1 33.9024124146 98.3808746338 101.86050415 0.0
ROW: 1253920-56628.080-i 1253920 56628.080 259320 44.820 0.196 i +9.226e-04 0.000e+0 +1.019e+02 29 1 33.9024124146 98.3808746338 101.86050415 0.0
ROW: 1253920-56635.127-g 1253920 56635.127 261960 51.871 0.196 g -7.077e-08 3.476e-02 +2.873e+01 29 0 28.7263584137 83.306098938 81.6103134155 0.0
ROW: 1253920-56635.130-r 1253920 56635.130 261962 51.871 0.196 r -2.724e-03 0.000e+0 +8.331e+01 29 1 28.7263584137 83.306098938 81.6103134155 0.0
ROW: 1253920-56635.132-i 1253920 56635.132 261963 51.875 0.196 i +7.039e-03 0.000e+0 +8.161e+01 29 1 28.7263584137 83.306098938 81.6103134155 0.0
