,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
78,1257016,0.3376,0.0001,9.242073,0.042761836,0.7234688,0.045033842,9.734617,0.012839701,0.7166176,0.01520221
79,1257022,0.3868,0.0001,7.9889283,0.34617138,1.0938835,0.67375106,10.58695,0.018249117,1.3835335,0.013291722
80,1257040,0.3518,0.0001,8.281188,0.06131975,0.8659897,0.10971741,10.682215,0.019706888,1.0317345,0.013618842
81,1257102,0.4733,0.0001,8.802114,0.0475823,0.4720497,0.06385129,9.440418,0.023183737,0.5715256,0.02540554
82,1257144,0.5254,0.0001,9.17776,0.063703425,0.737175,0.07289401,9.862262,0.026696315,0.6573601,0.018672809
83,1257335,0.4841,0.0001,9.151119,0.042182315,0.5202522,0.047172315,9.992498,0.016947076,0.47426224,0.024440894
84,1257609,0.3339,0.0001,10.212621,0.08744964,1.9516678,0.043114267,10.855547,0.009679948,1.8630676,0.013468166
85,1257673,0.4659,0.0001,8.74483,0.10762341,0.8085327,0.097220026,9.044103,0.15706097,0.7727318,0.08708797
86,1257695,0.1838,0.0001,8.364022,0.06474717,0.45861053,0.08857647,9.696569,0.0259076,0.5169716,0.028060937
87,1257775,0.476,0.0001,8.278048,0.08605975,0.2205162,0.10015471,9.642422,0.01827546,0.28681564,0.020181034
88,1258090,0.3666,0.0001,9.851731,0.118546605,1.4572716,0.05135839,10.016385,0.0406864,1.4817696,0.019230064
89,1258191,0.5169,0.0001,9.676897,0.068946086,1.237484,0.1293343,10.357086,0.016437508,0.99731064,0.019673653
90,1258309,0.4762,0.0001,8.788551,0.03699581,0.20090485,0.064530306,9.000739,0.029587168,0.08912659,0.03846974
91,1258330,0.5247,0.0001,8.680206,0.043527283,0.5761566,0.072043814,9.570957,0.05381849,0.59119034,0.027378457
92,1258422,0.521,0.0001,9.595189,0.061577406,1.0659523,0.10903212,10.329508,0.017956933,0.9265785,0.019130858
93,1258940,0.4259,0.0001,8.626582,0.054344296,0.7890892,0.051705517,10.785925,0.020944396,1.1637192,0.015313798
94,1259006,0.5279,0.0001,7.5969634,0.08315465,0.11377716,0.18097344,8.924398,0.042942367,0.27336502,0.045276884
95,1259246,0.2228,0.0001,9.388725,0.04963433,1.4034119,0.067275986,10.975498,0.024819043,1.4985619,0.019649824
96,1259341,0.2721,0.0001,8.443738,0.080759674,0.42359543,0.100005776,8.563087,0.037550375,0.40933228,0.03774715
97,1259352,0.2197,0.0001,10.217961,0.07970034,1.5354996,0.071700275,10.506988,0.07473242,1.6342659,0.03701493
98,1259412,0.3049,0.0001,8.897359,0.045214128,0.5757446,0.046740524,10.392526,0.013844359,0.79436874,0.014291635
99,1259500,0.5616,0.0001,9.12724,0.05594286,0.785347,0.10790082,10.111064,0.012816972,0.706192,0.021008044
100,1259511,0.3271,0.0001,9.290359,0.041051697,1.1636162,0.057359934,10.827164,0.0701941,1.4461861,0.01847684
101,1259538,0.5124,0.0001,8.339329,0.061325904,0.26717758,0.13566613,9.173676,0.021303292,0.30094147,0.02012234
102,1259585,0.564,0.0001,9.992244,0.05639367,1.3668098,0.14640577,10.468948,0.020470371,1.1217422,0.024222232
103,1259771,0.5323,0.0001,8.318774,0.058372755,0.32944107,0.10664752,9.126277,0.03007353,0.5180092,0.0462203
104,1259972,0.5222,0.0001,8.627705,0.047215007,0.37906265,0.07635093,8.923139,0.060207807,0.18565369,0.06591385
105,1260000,0.5506,0.0001,9.199191,0.05518327,0.80522156,0.0781518,9.796987,0.021806126,0.82224655,0.02526596
106,1260030,0.4581,0.0001,9.142789,0.047529362,0.818943,0.05856306,10.389173,0.022936735,0.8611145,0.016243866
107,1260050,0.2728,0.0001,8.972578,0.036831755,1.2035332,0.061987318,10.467199,0.054073922,1.5090523,0.026213737
108,1260058,0.3895,0.0001,9.367436,0.045005605,0.98078156,0.043865252,9.868815,0.013883811,1.0791664,0.018546395
109,1260107,0.4299,0.0001,9.190408,0.059632827,0.8415985,0.05946471,9.705585,0.029385867,0.804718,0.03094877
110,1260159,0.4303,0.0001,9.262652,0.06214201,1.0836182,0.06356333,11.02683,0.06322923,1.4756737,0.016127419
